                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9283,                 2.1088,                 2.0579,                0.07662,                0.08333,                0.01565,                0.00376,                 1.9533,                 34.554,                 1.6621,               0.070136,              0.0033183,              0.0033183
                      2,                 1.8851,                 1.9625,                 2.0501,                 0.0922,                0.06303,                 0.0144,                 0.0055,                 1.8951,                 5.9583,                 1.5255,               0.040004,              0.0065199,              0.0065199
                      3,                 1.7825,                 1.9289,                 1.9885,                0.22289,                0.04167,                0.02202,                0.00513,                 1.6181,                 5.5116,                 1.3448,              0.0097403,              0.0095895,              0.0095895
                      4,                 1.7515,                 1.8719,                 1.9502,                0.16798,                0.05044,                0.02174,                0.00704,                 1.6334,                 4.6238,                 1.3312,               0.009406,               0.009406,               0.009406
                      5,                 1.6828,                 1.7948,                 1.8841,                0.19613,                0.05263,                0.02815,                0.00816,                 1.4619,                 3.5145,                 1.2137,               0.009208,               0.009208,               0.009208
                      6,                 1.6363,                 1.7371,                 1.8412,                0.18856,                0.05482,                0.02343,                0.00767,                 1.5063,                 3.2642,                 1.2146,                0.00901,                0.00901,                0.00901
                      7,                  1.685,                 1.7909,                 2.1506,                0.24343,                0.12281,                0.06213,                0.02116,                 1.4891,                 3.4358,                 1.4096,               0.008812,               0.008812,               0.008812
                      8,                 1.6015,                 1.6895,                 1.8998,                0.24715,                0.08991,                0.03667,                 0.0128,                   1.54,                 4.4632,                  1.405,               0.008614,               0.008614,               0.008614
                      9,                 1.5787,                 1.6667,                 1.8703,                0.33131,                0.07456,                0.04943,                0.01579,                 1.4447,                  3.191,                 1.2394,               0.008416,               0.008416,               0.008416
                     10,                 1.5694,                 1.6461,                 1.8388,                0.19522,                0.06798,                0.04244,                0.01458,                 1.3829,                  3.032,                 1.2006,               0.008218,               0.008218,               0.008218
                     11,                 1.5631,                 1.6129,                 1.8267,                0.28004,                0.08333,                0.06055,                0.01961,                 1.4372,                 3.1321,                 1.2556,                0.00802,                0.00802,                0.00802
                     12,                 1.5083,                 1.5827,                 1.7867,                0.20388,                0.12719,                0.07373,                0.02587,                 1.3962,                 3.0179,                  1.223,               0.007822,               0.007822,               0.007822
                     13,                 1.4897,                 1.5913,                 1.8645,                0.22919,                0.14912,                0.08701,                0.03035,                 1.3755,                 2.8231,                 1.2123,               0.007624,               0.007624,               0.007624
                     14,                 1.4717,                  1.556,                 1.7515,                0.28441,                0.17982,                0.11219,                 0.0354,                  1.373,                 2.8725,                 1.2143,               0.007426,               0.007426,               0.007426
                     15,                 1.4466,                 1.5276,                 1.7335,                0.33951,                 0.1557,                0.11753,                 0.0356,                 1.4078,                 3.0059,                 1.2168,               0.007228,               0.007228,               0.007228
                     16,                 1.4262,                 1.5285,                 1.7164,                0.29073,                 0.1886,                0.11287,                0.03806,                 1.3344,                  2.877,                 1.1685,                0.00703,                0.00703,                0.00703
                     17,                 1.4348,                 1.5131,                  1.717,                0.40133,                0.37281,                0.28445,                0.10232,                 1.3478,                 2.8395,                 1.1722,               0.006832,               0.006832,               0.006832
                     18,                 1.4036,                  1.483,                 1.6748,                0.29819,                0.16399,                0.11159,                0.03861,                 1.2829,                 2.7977,                 1.1492,               0.006634,               0.006634,               0.006634
                     19,                 1.4128,                 1.4838,                  1.707,                0.32769,                0.19956,                0.13401,                0.04506,                  1.267,                  2.699,                 1.1453,               0.006436,               0.006436,               0.006436
                     20,                 1.3807,                 1.4649,                 1.6856,                0.35123,                0.26238,                0.18246,                0.05805,                 1.3328,                 2.7282,                 1.1938,               0.006238,               0.006238,               0.006238
                     21,                 1.3713,                 1.4627,                 1.6681,                0.41443,                0.34921,                0.26262,                0.08211,                  1.293,                 2.6494,                 1.1524,                0.00604,                0.00604,                0.00604
                     22,                 1.3678,                 1.4098,                 1.6562,                0.50993,                0.48684,                0.40919,                0.13956,                  1.262,                 2.7045,                  1.132,               0.005842,               0.005842,               0.005842
                     23,                 1.3748,                 1.4166,                 1.6679,                 0.4239,                0.57121,                0.37373,                0.12815,                 1.2433,                 2.6322,                 1.1305,               0.005644,               0.005644,               0.005644
                     24,                 1.3414,                 1.4011,                 1.6263,                0.32215,                0.16667,                0.11037,                0.04115,                 1.2386,                 2.5663,                 1.1183,               0.005446,               0.005446,               0.005446
                     25,                 1.3139,                 1.3869,                 1.6307,                0.39807,                0.27412,                0.20186,                 0.0659,                 1.2386,                 2.4837,                 1.1232,               0.005248,               0.005248,               0.005248
                     26,                 1.3039,                 1.3626,                 1.6218,                0.40568,                0.42662,                0.30305,                0.10811,                 1.2477,                  2.504,                 1.1158,                0.00505,                0.00505,                0.00505
                     27,                 1.2768,                  1.346,                 1.5981,                0.48401,                0.51426,                0.38698,                0.13052,                 1.2577,                 2.5274,                 1.1298,               0.004852,               0.004852,               0.004852
                     28,                  1.287,                  1.314,                 1.6029,                0.57084,                0.57237,                0.49004,                0.17606,                 1.2022,                 2.4881,                 1.0926,               0.004654,               0.004654,               0.004654
                     29,                 1.2819,                 1.3119,                 1.6075,                0.54824,                0.53728,                 0.4737,                0.16539,                  1.214,                 2.3473,                 1.1225,               0.004456,               0.004456,               0.004456
                     30,                 1.3248,                  1.328,                 1.6424,                0.54595,                0.56579,                0.48743,                0.17331,                 1.2208,                 2.3598,                 1.1205,               0.004258,               0.004258,               0.004258
                     31,                 1.2604,                 1.2842,                 1.5712,                0.40274,                0.24561,                0.22512,                0.08823,                 1.1799,                 2.3211,                 1.0831,                0.00406,                0.00406,                0.00406
                     32,                 1.2408,                 1.2765,                 1.5803,                 0.4672,                0.36151,                0.30193,                0.09899,                 1.1942,                 2.3824,                  1.097,               0.003862,               0.003862,               0.003862
                     33,                 1.2122,                 1.2634,                 1.5515,                0.59675,                0.42325,                 0.3999,                0.14117,                 1.1886,                 2.3001,                 1.0872,               0.003664,               0.003664,               0.003664
                     34,                  1.194,                 1.2231,                 1.5138,                0.55468,                0.29501,                 0.3006,                0.10857,                 1.2372,                 2.2702,                 1.1147,               0.003466,               0.003466,               0.003466
                     35,                 1.1734,                 1.1934,                 1.5326,                0.53942,                0.45833,                0.38087,                0.13669,                 1.1878,                 2.2522,                 1.0919,               0.003268,               0.003268,               0.003268
                     36,                 1.1561,                 1.1948,                 1.5103,                0.61865,                0.46272,                0.43487,                0.15456,                 1.1794,                 2.2048,                 1.0964,                0.00307,                0.00307,                0.00307
                     37,                 1.2026,                 1.2264,                 1.5394,                0.59261,                0.50403,                0.47646,                0.17114,                 1.1576,                  2.198,                 1.0845,               0.002872,               0.002872,               0.002872
                     38,                 1.2126,                 1.2066,                 1.5431,                0.55148,                0.53289,                0.48718,                0.17368,                 1.1427,                 2.1781,                 1.0713,               0.002674,               0.002674,               0.002674
                     39,                 1.2006,                 1.2022,                 1.5446,                 0.6734,                0.55263,                0.56033,                0.19712,                 1.1451,                 2.1084,                 1.0736,               0.002476,               0.002476,               0.002476
                     40,                  1.225,                 1.1878,                 1.5588,                0.64667,                0.56995,                0.55293,                0.20597,                 1.1421,                 2.1603,                 1.0715,               0.002278,               0.002278,               0.002278
                     41,                 1.1198,                  1.051,                 1.5271,                0.55661,                0.32895,                 0.3339,                0.12683,                 1.1503,                 2.1195,                 1.0748,                0.00208,                0.00208,                0.00208
                     42,                 1.0953,                0.98568,                 1.5256,                0.58598,                0.48465,                0.45417,                0.15387,                  1.122,                 2.2174,                 1.0559,               0.001882,               0.001882,               0.001882
                     43,                 1.0729,                0.95276,                 1.4937,                 0.6372,                0.45395,                0.49215,                0.19061,                 1.1431,                 2.0753,                 1.0666,               0.001684,               0.001684,               0.001684
                     44,                 1.0749,                0.91968,                 1.5065,                0.67588,                0.54875,                0.56486,                0.21869,                 1.1243,                 2.0177,                 1.0568,               0.001486,               0.001486,               0.001486
                     45,                 1.0705,                0.93398,                 1.4988,                0.63107,                0.59269,                0.61411,                0.22715,                 1.1085,                  1.986,                 1.0583,               0.001288,               0.001288,               0.001288
                     46,                 1.0563,                0.89091,                 1.4786,                0.67493,                0.57456,                0.59297,                0.23108,                 1.1072,                 1.9056,                 1.0426,                0.00109,                0.00109,                0.00109
                     47,                 1.0356,                 0.8724,                 1.4608,                0.71199,                0.59635,                0.64647,                0.24652,                 1.1016,                 1.9126,                 1.0431,               0.000892,               0.000892,               0.000892
                     48,                 1.0203,                0.85084,                 1.4555,                0.76286,                0.58991,                0.67216,                0.25869,                 1.0912,                 1.8848,                 1.0413,               0.000694,               0.000694,               0.000694
                     49,                 1.0171,                0.85326,                  1.453,                0.68695,                0.40423,                0.44517,                0.16631,                 1.0938,                 1.8676,                  1.041,               0.000496,               0.000496,               0.000496
                     50,                0.99583,                0.82365,                 1.4306,                0.77108,                0.44079,                0.51587,                0.19779,                 1.0888,                 1.8561,                 1.0389,               0.000298,               0.000298,               0.000298
